item,supplier,unit_cost_eur_net,qty,phase,mass_kg,link,description
"YAGEO MFR-25FBF52-120R - CAN termination resistor, 120 ohm, 1%",Mouser,0.1,10,Phase 1,,https://www.mouser.com/ProductDetail/YAGEO/MFR-25FBF52-120R?qs=oAGoVhmvjhwezjKtxD8soA%3D%3D,Termination resistor mounted at the two physical ends of each CAN bus. Do not place one on every motor.
Makerbase MKS CANable Pro CANable-MKS 1.0 (STM32F072) isolated USB-CAN adapter - right arm bus,OpenELAB Germany,15.95,1,Phase 1,0.03,https://openelab.de/products/mks-canable-pro-chip,"Three isolated USB-CAN interfaces supplement Thor's two native CAN controllers, giving five physical 1 Mbps buses. Use the STM32F072 CANable-MKS 1.0-compatible isolated model with candleLight/gs_usb and SocketCAN; do not silently substitute the STM32G431 MKS V2.0 because upstream candleLight firmware does not support it."
Makerbase MKS CANable Pro CANable-MKS 1.0 (STM32F072) isolated USB-CAN adapter - left arm + waist/neck buses,OpenELAB Germany,15.95,2,Phase 3,0.06,https://openelab.de/products/mks-canable-pro-chip,"Three isolated USB-CAN interfaces supplement Thor's two native CAN controllers, giving five physical 1 Mbps buses. Use the STM32F072 CANable-MKS 1.0-compatible isolated model with candleLight/gs_usb and SocketCAN; do not silently substitute the STM32G431 MKS V2.0 because upstream candleLight firmware does not support it."
"Nautica Illiano CABATR25 - red super-flexible battery cable, 25 mm2",Nautica Illiano,7.6,2,Phase 1,0.58,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,"Two meters of main positive cable for battery, main fuse, LEV100 contactor, compact power carrier and downstream distribution block."
"Nautica Illiano CABATN25 - black super-flexible battery cable, 25 mm2",Nautica Illiano,7.3,2,Phase 1,0.58,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,Two meters of main negative cable to cut for source and PDU.
"Nautica Illiano CABATR16 - red super-flexible battery cable, 16 mm2",Nautica Illiano,4.55,4,Phase 2,0.76,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,"Four meters of positive cable for the two leg branches, each protected by a 70 A BF1 fuse."
"Nautica Illiano CABATN16 - black super-flexible battery cable, 16 mm2",Nautica Illiano,4.4,4,Phase 2,0.76,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,Four meters of negative cable for the two leg branches.
"Nautica Illiano CABATR06 - red super-flexible battery cable, 6 mm2",Nautica Illiano,1.75,6,Phase 3,0.51,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,"Six meters of positive cable for waist/neck and the two arms, protected by 40 A and 30 A BF1 fuses."
"Nautica Illiano CABATN06 - black super-flexible battery cable, 6 mm2",Nautica Illiano,1.75,6,Phase 3,0.51,https://www.nauticailliano.it/en/product/super-flexible-single-core-flame-retardant-electrical-cable-for-batteries_CABAT.html,Six meters of negative cable for waist/neck and the two arms.
"Klauke 704F5 - tinned copper lug for flexible 25 mm2 cable, M5 hole",Bürklin,1.75,8,Phase 1,,https://www.buerklin.com/en/p/klauke/cable-lugs/704f5/07F1391/,Cable lugs for both sides of the main BF1 fuse holder on the 25 mm2 trunk. Two installed plus two spares.
"Klauke 703F5 - tinned copper lug for flexible 16 mm2 cable, M5 hole",Bürklin,0.85,6,Phase 2,,https://www.buerklin.com/en/p/klauke/cable-lugs/703f5/07F1381/,Cable lugs for the two leg-branch BF1 fuse holders. Four installed plus two spares.
"Klauke 101R5 - DIN tinned copper lug, 6 mm2, M5 hole",Bürklin,0.63,8,Phase 3,,https://www.buerklin.com/en/p/klauke/cable-lugs/101r5/07F2090/,Cable lugs for the waist/neck and arm branch fuse holders. Six installed plus two spares.
"Klauke K05 - manual hex crimper for tubular cable lugs, 6-50 mm2",Bürklin,293.48,1,Phase 1,,https://www.buerklin.com/en/Crimping-pliers-for%C2%A0Tubular-cable-lugs-and-connectors-6-0-50-mm%C2%B2-Klauke-K05/p/05L2734,"Tool for correctly crimping 6, 16 and 25 mm2 tubular cable lugs. Do not use generic pliers for power wiring."
Assorted heat-shrink tubing kit,Amazon,20,1,Phase 1,,https://www.amazon.it/Guaine-Termorestringenti-Tubi-Termorestringente-fai/dp/B0778D22WM,Insulation for cable lugs and joints. Add braided sleeve sizes after CAD/harness routing.
Cable ties + adhesive mounts,Amazon,10,1,Phase 1,,https://www.amazon.it/Basette-Fascette-Cablaggio-Neutro-Trasparente-Confezione/dp/B09HQYXPHZ,Cable-bundle fastening.
"[DESIGN DELIVERABLE - NOT A PURCHASE] HAR-ARM-01 arm CAN/power trunk assembly, left and right",Project harness,0,1,CAD take-off,,https://www.belden.com/products/cable/electronic-cable/data-cable/9841,"One routed trunk per arm: a protected power pair sized from the final branch current plus one 120-ohm twisted CAN pair. It must run shoulder-to-wrist with short serviceable motor drops, not seven long radial cables back to the CANable. Use the selected Belden 9841LSZH for CAN; select the exact flexible power-pair cable after CAD lengths, bend radius and current are frozen. With the hands active (2026-07-17) each arm trunk also carries the fused 24 V hand power pair and one RS485 twisted pair to the wrist; include both in the same take-off and drawing."
[DESIGN DELIVERABLE - NOT A PURCHASE] HAR-WST-01 waist/neck CAN/power trunk assembly,Project harness,0,1,CAD take-off,,https://www.belden.com/products/cable/electronic-cable/data-cable/9841,"One short torso trunk serving waist yaw, waist roll and two neck motors. Electrical topology is a CAN backbone with short drops, while 48 V power branches separately from the fused waist/neck source."
[DESIGN DELIVERABLE - NOT A PURCHASE] JBOX-CAN-01 inline CAN/power branch junction,Project PCB / harness,0,1,CAD take-off,,https://www.ti.com/lit/an/slla270/slla270.pdf,"Small inline branch assembly at each motor location: CAN-H/CAN-L through-trunk plus a short CAN drop to that motor; power is a separately rated branch. This creates a bus topology, not a star. Use one per motor only where the actuator has no CAN pass-through."
"Seeed XT30 (2+2) Power Separation Board, SKU 100045091",Seeed Studio,5,2,Phase 1,,https://www.seeedstudio.com/XT30-2-2-Power-Separation-Board-p-6707.html,"Breaks one XT30 (2+2) connector into a standard XT30 power connector and a GH1.25 two-pin CAN connector. Activated qty 2 for the MS1 arm bench: junction points to feed/tap power and CAN when daisy-chaining the 7 arm actuators with BCCA4011 leads, and the place to fit the 120 ohm bus terminations."
[DESIGN DELIVERABLE - NOT A PURCHASE] HAR-RS03RS04-01 custom RS03/RS04 power + CAN harness set,Project harness,0,1,CAD take-off,,https://www.robstride.com/assets/product_manual_robStride04-37549d59.pdf,Custom harness set for RS04 hip/knee motors and RS03 hip-yaw/waist-roll motors. Each motor receives a separate AMASS XT30UW-F.G.Y power drop and JST GHR-02V-S CAN drop from its relevant trunk; both connectors are already listed as purchasable BOM rows.
"[DESIGN DELIVERABLE - NOT A PURCHASE] HAR-MECH-01 strain relief, grommet and harness mounting plan",Project mechanical/electrical,0,1,CAD take-off,,https://www.igus.eu/info/chainflex-cable-strain-relief,"Defines every fixed clamp, flexible service loop, grommet and moving-joint strain-relief point. Harnesses must never hang from JST/GH contacts or motor connectors."
[DESIGN DELIVERABLE - NOT A PURCHASE] HAR-MAP-01 final motor connector and CAN-ID map,Project documentation,0,1,CAD take-off,,https://www.ti.com/lit/an/slla270/slla270.pdf,"Mandatory manufacturing document mapping every motor to: physical location, RobStride model, CANable/Thor bus, CAN ID, two CAN termination endpoints, power-fuse branch, connector gender, pinout and harness drawing number."
NVIDIA Jetson AGX Thor Developer Kit,Seeed / Arrow - ALREADY OWNED (lab),0,1,Phase 1,1.94,https://www.seeedstudio.com/NVIDIA-Jetson-AGX-Thor-Developer-Kit-p-9965.html,"Only onboard computer for perception, policy, state estimation and the 250 Hz RobStride target-refresh process. Dev-kit size 243.19 x 112.40 x 56.88 mm, approximately 1.94 kg; T5000 module power configurable from 40 to 130 W."
"Waveshare USB TO AUDIO USB sound card, SKU 18833",Waveshare,7.99,1,Phase 3,0.055,https://www.waveshare.com/product/usb-to-audio.htm,"Simple first-iteration robot voice board: one USB 2.0 audio device with an onboard microphone, stereo codec and PH2.0 speaker connector. It records and plays audio under Linux without a special driver; the integrated BTL speaker driver is rated 2.6 W per channel into 4 ohm."
"PUI Audio AS03604AR bare speaker, 36 mm, 4 ohm, 3 W",Mouser / DigiKey / Farnell,10,1,Phase 3,0.024,https://eu.mouser.com/ProductDetail/PUI-Audio/AS03604AR?qs=VVKQmw408U%2FBSl17uW5%2FPA%3D%3D,"Exposed frame-mount speaker for robot speech: 36 mm diameter, 8.8 mm high, 4 ohm, 3 W rated, 88 dB sensitivity. Wire one channel from the Waveshare audio board PH2.0 speaker connector to its solder pads."
LINDY 41899 USB-C male to USB-A female adapter for audio board,LINDY / EU distributors,10,1,Phase 3,0.005,https://www.lindy.eu/USB-3-2-Type-C-to-A-Adapter.htm?pi=41899&websale8=ld0101.ld021102,Connects the Waveshare USB-A audio-board cable to Thor's free normal USB-C #2 port. USB 2.0 audio is fully compatible with this USB 3.2 adapter.
"[DESIGN DELIVERABLE - NOT A PURCHASE] AUD-MNT-01 speaker pocket, retaining ring and grille",Project mechanical/electrical,0,1,CAD take-off,,https://puiaudio.com/product/s/AS03604AR,"CAD deliverable for the PUI AS03604AR: printed 36.2 mm nominal circular pocket, removable retaining ring or back-clamp, front perforated grille and rear acoustic cavity. Do not put screw heads, grille or hard support against the moving diaphragm."
RealSense D436 depth camera with RGB and IMU,RealSense Store,309.71,1,Phase 1,0.075,https://store.realsenseai.com/buy-intel-realsense-depth-camera-d436.html,"Compact head perception camera: global-shutter stereo depth, global-shutter RGB and IMU. Envelope 90 x 25 x 25 mm, mass 0.075 kg, USB-C 3.1, two M3 mounting points plus 1/4-20 thread."
Molex 0430250400 Micro-Fit 3.0 2x2 receptacle housing for Thor power,DigiKey,0.4,1,Phase 1,,https://www.digikey.com/en/products/detail/molex/0430250400/252497,Exact mating housing for the Thor developer-kit J74 2x2 Micro-Fit 3.0 power input. NVIDIA pinout looking into the board: pins 1-2 are 24 V power and pins 3-4 are ground.
"Molex 0430300040 Micro-Fit 3.0 female crimp contact, 18 AWG, for Thor power",DigiKey,0.2,8,Phase 1,,https://www.digikey.com/en/products/detail/molex/0430300040/11503719,Four contacts are required for the Thor harness and four are spares for crimp qualification. Use 18 AWG flexible copper wire for each of the two 24 V and two ground circuits.
Phidgets MOT0110_0 PhidgetSpatial Precision 3/3/3 pelvis IMU,Phidgets / EU distributors,91.86,1,Phase 2,0.03,https://www.phidgets.com/?prodid=1205,"Selected base IMU for the open-source build: factory-calibrated 3-axis accelerometer +/-16 g, gyroscope +/-2000 deg/s and magnetometer +/-8 G; synchronized timestamps, built-in IMU/AHRS algorithms, USB and Linux Phidget22 support, up to 1 kHz sampling. Enclosed dimensions 38.989 x 37.846 x 13.380 mm; CAD mass budget 0.030 kg."
"Phidgets CBL4011_0 USB-A to Mini-B right-angle cable, 280 mm, for pelvis IMU",Phidgets,3.06,1,Phase 2,0.02,https://www.phidgets.com/?prodid=1248,Short official cable from the MOT0110_0 to the powered USB hub. Right-angle Mini-B reduces bend space at the pelvis IMU; route and clamp it so hip/waist motion cannot pull the connector.
